E,FSR_primary,FSR_secondary,IFA_primary,IFA_secondary,direct_gamma_primary,direct_gamma_secondary,total,total_primary,total_secondary
63.9162,3.669961e+18,2.084571e+18,3.110392e+19,2.412587e+19,666660000000000.0,2.7452833334e+20,3.35513322e+20,3.4774547659999998e+19,3.0073877434e+20
67.2443,3.4722700000000005e+18,1.859637e+18,2.966908e+19,2.172374e+19,765793999999999.6,2.5884423421e+20,3.15569727004e+20,3.3142115794e+19,2.8242761121e+20
70.7456,3.284469e+18,1.655831e+18,2.830107e+19,1.952322e+19,886003999999999.5,2.43249114e+20,2.96014590004e+20,3.1586425003999998e+19,2.64428165e+20
74.4292,3.106069e+18,1.471386e+18,2.699664e+19,1.751101e+19,1033050000000000.0,2.2805196695e+20,2.77138105e+20,3.010374205e+19,2.4703436295e+20
78.3047,2.936604e+18,1.304857e+18,2.575265e+19,1.567447e+19,1210179999999999.5,2.1311978982e+20,2.58789581e+20,2.869046418e+19,2.3009911682e+20
82.3819,2.775645e+18,1.15473e+18,2.456609e+19,1.400132e+19,1408250000000000.8,1.9907359175e+20,2.4157278499999996e+20,2.734314325e+19,2.1422964174999998e+20
86.6714,2.622771e+18,1.019675e+18,2.343429e+19,1.24798e+19,1623860000000000.8,1.8586537614e+20,2.25423536e+20,2.605868486e+19,1.9936485114e+20
91.1843,2.477585e+18,8.984084e+17,2.235451e+19,1.109897e+19,1868760000000000.0,1.7226413124e+20,2.090954734e+20,2.483396376e+19,1.8426150963999998e+20
95.9321,2.339716e+18,7.896842e+17,2.132417e+19,9.848393e+18,2162790000000000.0,1.5977283721e+20,1.940769632e+20,2.366604879e+19,1.7041091441e+20
100.927,2.208806e+18,6.925275e+17,2.034085e+19,8.718129e+18,2522930000000000.0,1.4779547707e+20,1.797583125e+20,2.255217893e+19,1.5720613357e+20
106.182,2.084512e+18,6.058453e+17,1.940233e+19,7.698826e+18,2932080000000000.0,1.3665406792e+20,1.6644851329999998e+20,2.148977408e+19,1.4495873921999998e+20
111.711,1.966505e+18,5.286789e+17,1.850629e+19,6.781864e+18,3378050000000000.0,1.2584262195e+20,1.5362933790000002e+20,2.047617305e+19,1.3315316485e+20
117.528,1.854484e+18,4.601422e+17,1.765068e+19,5.95879e+18,3897910000000001.5,1.1542010209e+20,1.4134809620000001e+20,1.950906191e+19,1.2183903429000002e+20
123.647,1.748175e+18,3.994392e+17,1.683348e+19,5.221726e+18,4526920000000000.0,1.0589947308e+20,1.301068202e+20,1.858618192e+19,1.1152063828e+20
130.085,1.647278e+18,3.458e+17,1.605284e+19,4.563385e+18,5253190000000000.0,9.671424681e+19,1.1932880299999999e+20,1.770537119e+19,1.0162343181e+20
136.859,1.551527e+18,2.984949e+17,1.530696e+19,3.976896e+18,6053210000000000.0,8.821084679e+19,1.093507779e+20,1.686454021e+19,9.248623769e+19
143.985,1.460691e+18,2.569293e+17,1.459408e+19,3.45575e+18,6989740000000000.0,7.999461026e+19,9.97690503e+19,1.606176074e+19,8.370728955999999e+19
151.482,1.374523e+18,2.205041e+17,1.391256e+19,2.99392e+18,8113490000000000.0,7.267228651e+19,9.11819071e+19,1.529519649e+19,7.588671061e+19
159.369,1.292799e+18,1.886382e+17,1.326088e+19,2.585886e+18,9356300000000000.0,6.56728437e+19,8.30104032e+19,1.45630353e+19,6.844736789999999e+19
